town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
483,5586,4183,25,4158,16,2,3958,1,2,3,35,19,41,18,63
485,4660,2880,30,2850,97,2,14,13,4,508,244,78,1839,38,13
487,2447,1472,18,1454,38,1,912,3,1,319,9,41,101,7,22
489,6965,4489,23,4466,15,2,4253,7,2,2,41,49,29,8,58
490,8152,6242,29,6213,78,4,4982,3,3,0,28,37,107,476,495
492,7270,5546,16,5530,39,5,5167,8,0,17,28,44,98,104,20
494,12579,7463,47,7416,223,3,333,8,12,401,300,406,5620,73,37
496,4539,2530,12,2518,176,2,139,43,1,570,158,100,1251,74,4
497,1221,641,3,638,19,5,552,2,0,0,6,9,15,2,28
498,9369,5926,35,5891,9,2,5543,2,0,35,19,64,147,21,49
499,13009,8025,90,7935,102,0,7220,7,3,45,120,124,204,38,72
502,8534,4382,109,4273,116,1,256,5,2,521,1351,131,1677,184,29
504,7964,5970,41,5929,54,14,5505,19,2,2,19,35,18,171,90
505,2607,2054,11,2043,10,0,1996,0,1,0,5,11,9,1,10
507,7860,5275,37,5238,44,1,4502,5,1,130,94,234,162,30,35
508,2576,1135,13,1122,94,0,104,0,2,27,21,75,780,3,16
509,14493,9113,100,9013,368,1,7856,4,3,45,91,59,109,65,412
510,12450,8674,70,8604,109,0,7000,9,3,6,39,84,267,990,97
511,5176,2554,26,2528,53,0,2335,5,2,2,24,11,13,40,43
512,1780,1159,16,1143,80,0,915,1,0,1,16,16,55,44,15
514,645,349,8,341,13,0,220,1,0,6,4,37,50,0,10
516,10235,7246,26,7220,16,5,6959,5,0,3,20,83,38,30,61
517,2875,2008,12,1996,39,0,1850,5,1,3,8,47,24,5,14
518,2524,1717,7,1710,5,0,1289,0,2,93,7,170,128,1,15
520,5538,3265,19,3246,23,1,3056,2,0,2,8,37,30,3,84
521,1637,918,25,893,16,1,680,11,3,4,21,27,99,3,28
522,8340,5362,16,5346,6,12,4984,2,4,0,20,39,49,48,182
523,1330,798,6,792,9,1,468,0,0,0,14,202,90,0,8
524,1451,883,15,868,16,0,752,0,0,1,3,25,59,3,9
525,2986,1249,9,1240,367,139,70,37,0,39,178,7,314,17,72
526,1980,1217,2,1215,42,1,990,0,0,1,2,84,74,2,19
527,279,193,0,193,10,4,0,3,3,2,116,1,31,15,8
528,1982,1124,6,1118,3,0,1012,1,2,0,0,22,38,33,7
529,9024,5672,43,5629,108,4,4719,12,4,140,54,208,299,9,72
530,4133,2880,18,2862,64,3,1888,2,3,164,71,237,380,24,26
531,16484,10863,503,10360,12,14,10106,5,0,2,16,57,66,10,72
532,8903,5327,33,5294,44,2,5017,5,2,2,18,32,29,43,100
534,9083,5187,38,5149,202,6,1068,4,12,591,118,192,2835,63,58
535,2602,1516,7,1509,19,0,937,3,0,262,13,173,86,6,10
536,4369,2840,26,2814,268,0,708,15,1,670,99,301,569,166,17
537,8600,4798,64,4734,14,21,3783,5,2,7,138,505,158,46,55
538,4802,3403,18,3385,9,1,2940,2,4,4,24,21,38,106,236
539,726,576,5,571,8,0,531,0,1,0,0,7,18,1,5
540,913,534,10,524,81,1,56,7,1,44,9,23,294,6,2
541,8814,3703,46,3657,18,5,3309,20,2,5,31,68,126,9,64
542,11365,6565,59,6506,48,6,6038,4,3,30,37,59,125,77,79
543,6355,3893,48,3845,162,4,2034,2,4,458,163,147,753,66,52
546,630,348,1,347,16,0,17,0,0,115,24,17,157,0,1
547,1029,564,3,561,4,0,531,0,0,1,2,5,15,0,3
549,710,545,1,544,42,2,1,8,3,18,126,17,316,7,4
553,610,470,3,467,44,3,2,8,1,7,39,48,303,1,11
555,382,293,2,291,22,0,2,3,0,9,20,38,182,0,15
559,707,558,2,556,34,1,0,20,6,17,161,35,237,22,23
562,1041,811,2,809,54,4,1,27,21,23,165,52,341,6,115
563,510,428,1,427,33,0,2,10,4,34,55,58,226,2,3
564,569,414,0,414,50,1,1,4,1,10,12,148,182,1,4
565,9701,6599,31,6568,367,93,8,296,84,420,2370,155,2064,679,32
567,830,543,2,541,130,0,16,1,0,9,18,109,253,2,3
570,656,485,7,478,51,0,2,23,0,16,188,8,157,12,21
571,770,596,2,594,19,20,0,299,32,5,146,2,46,22,3
572,494,352,1,351,57,0,0,3,0,24,13,71,178,0,5
573,372,274,0,274,17,1,0,17,8,9,105,4,85,23,5
574,1185,824,2,822,111,1,2,22,2,37,185,70,387,4,1
575,537,397,2,395,37,1,1,2,2,22,38,67,222,1,2
576,848,613,3,610,84,0,0,11,2,18,24,117,351,0,3
577,2121,1728,5,1723,7,113,0,803,233,1,203,7,21,335,0
578,421,302,2,300,54,0,3,1,1,3,12,105,120,0,1
579,1004,737,2,735,129,0,2,26,2,33,137,48,344,8,6
580,650,504,0,504,44,2,2,20,6,10,50,88,276,0,6
582,770,584,1,583,33,3,1,22,4,23,93,32,318,5,49
